id,name,taxonomy_facet,parent_id,parent_name,vocabulary
PN-8100.4500-240,Gay/Lesbian/Bisexual/Transgender Support Groups,Organization/Facility Type,,,
NL-6000.2000-220,Food Stamps/SNAP Applications,Named Programs,,,
ND-6500,Training and Employment Programs,Service,,,
LH-3000,Health Insurance/Dental Coverage,Service,,,
TA-5500.3000-450,Local/Regional History Museums,Organization/Facility Type,,,
JR-8200.9500,Water Safety Education,Service,,,
TH-2600,Disaster Relief Services,Service,,,
FT-4500.1800,Eviction Prevention Legal Assistance,Service,,,
RX-1750,DUI Offender Programs,Service,,,
PL-7000,Recreational Activities/Sports,Service,,,
PX,Volunteer Opportunities,Service,,,
RP-1400.8000-805,Sexual Orientation Counseling,Service,,,
PH-1000,Case/Care Management,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
LH-2700,Health Education,Service,,,
TJ-3000.8500-850,211 Lead Agencies,Organization/Facility Type,,,
LR-6200.6500,Pediatric Occupational Therapy,Service,,,
DD-1500.4550,Home Improvement/Repair Complaints,Service,,,
BH-8400.3000,Homeless Permanent Supportive Housing,Organization/Facility Type,,,
PH-1400.1000,Buddy Programs,Service,,,
PH-1400,Companionship,Service,,,
BH-8600,Transitional Housing/Shelter,Service,,,
DD-1500.4150,Government Complaints/Government Ombudsman Offices,Organization/Facility Type,,,
TJ-3000,Information and Referral,Service,,,
LR-1700,Early Intervention for Children With Disabilities/Delays,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PN-8100.3000,Health/Disability Related Support Groups,Organization/Facility Type,,,
PN-8100.1000,Bereavement Support Groups,Organization/Facility Type,,,
LR-6600,Physical Therapy,Service,,,
HD-8000.1800-500,Middle Schools,Organization/Facility Type,,,
FT-3600,Immigration/Naturalization Legal Services,Service,,,
HH-8000,Special Education,Service,,,
RX-8450.6600-650,Perinatal Drug Use Disorder Treatment,Service,,,
PL-7400.5500-570,Musical Instrument Instruction,Service,,,
RM-6500.1500,Community Mental Health Agencies,Organization/Facility Type,,,
LF-4900.1500-120,Breast Examinations,Service,,,
LF-4900.1500-650,Pap Tests,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
FF-0500.1800,Diversion Programs,Service,,,
PS-9800,Youth Development,Service,,,
RP-1400.8000-800,Sexual Assault Counseling,Service,,,
LR-8000.8000-820,Speech Therapy,Service,,,
RX-8450.5000-510,Methadone Clinics,Service,,,
PN-8100.1000-100,Bereaved Parent Support Groups,Organization/Facility Type,,,
RP-1400.8000-070,Anger Management,Service,,,
LF-5350.6500,Paternity/Maternity Establishment,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
TL-3650.2000-200,Foreign Disaster Information,Service,,,
ND-2000.3500,Job Training Formats,Modality/Delivery Format,,,
FP-0500,Advocacy,Modality/Delivery Format,,,
TD-1200.1800,Federated Giving Programs,Organization/Facility Type,,,
RP-5000.1500,Clinical Psychiatric Evaluation,Service,,,
PH-1000.8500,Transitional Case/Care Management,Service,,,
ND-3500.3600,Job Search/Placement,Service,,,
NL-1000.7000,Refugee/Entrant Cash Assistance,Named Programs,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
JR-8200.2000,Fire Prevention Information,Service,,,
PN-8100.0500-070,Alcohol Use Disorder Support Groups,Organization/Facility Type,,,
LJ-5000.1000,Breastfeeding Support Programs,Service,,,
NS-1800.9000,Veteran Compensation and Pension Benefits,Named Programs,,,
PD-6250.0750-180,Dog Obedience Classes,Service,,,
LT-9500.9550,Weight Loss Assistance,Service,,,
PN-8100.0500-900,Weight Related Support Groups,Organization/Facility Type,,,
LT-1750.1750,Diabetes Management Clinics,Service,,,
RX-8500.6500-050,Alcohol Use Related Recovery Homes/Halfway Houses,Organization/Facility Type,,,
LL-3000.1450,Children's Hospitals,Organization/Facility Type,,,
TD-1600.3100-800,Senior Advocacy Groups,Organization/Facility Type,,,
HH-0500.8000-150,English as a Second Language,Service,,,
FP-0500.2500,Group Advocacy,Modality/Delivery Format,,,
RX-8500.6500-180,Drug Use Related Recovery Homes/Halfway Houses,Organization/Facility Type,,,
LH-2700.1700,Disease/Disability Information,Service,,,
RP-6400.8000-300,Home Based Mental Health Services,Service,,,
DD-1500.9650,Utility Service Complaints,Service,,,
HH-0500.1500,Citizenship Education,Service,,,
RP-1400.8000-650,Parent Counseling,Service,,,
PH-6100,Parenting Education,Service,,,
